Item	Item	Country	State	Name	Latitude	Longitude	DistanceFromSource	IWDay	IWHr	IWMin	TTHr	TTMin	MWDay	MWHr	MMWMin	MaxWaterHeight	MaxInundationDistance	Type	Per	1st	Mtn	z1	z2
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48900 	95.26400 	250 									10.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53600 	95.28200 	255 									10.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47900 	95.24900 	250 									10.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57200 	95.32500 	258 									10.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.58400 	95.34700 	258 									10.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57100 	95.32500 	258 									10.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57500 	95.32600 	258 									10.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59300 	95.36700 	259 									10.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55000 	95.30400 	256 									10.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56200 	95.31700 	257 									10.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59400 	95.33500 	260 									10.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.58800 	95.36100 	259 									10.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55200 	95.29400 	256 									11.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53700 	95.28400 	255 									11.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.60500 	95.38700 	260 									11.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.58400 	95.34900 	258 									11.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56100 	95.31100 	257 									11.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.54900 	95.30200 	256 									11.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48200 	95.26500 	250 									11.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57600 	95.32700 	258 									11.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59500 	95.37100 	259 									11.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56100 	95.31100 	257 									11.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56500 	95.31700 	257 									11.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55000 	95.30700 	256 									11.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59700 	95.37600 	259 									11.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48300 	95.26400 	250 									11.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47800 	95.24000 	250 									11.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.54400 	95.29500 	255 									11.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53400 	95.27200 	255 									11.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.50000 	95.23300 	252 									12.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55600 	95.31200 	256 									12.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57100 	95.32100 	258 									12.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.52700 	95.27600 	254 									12.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55300 	95.29800 	256 									12.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57800 	95.32900 	258 									12.40 		5 	
* 		INDONESIA 	ACEH 	ALUS ALUS, SUMATRA 	2.34927 	96.37575 	122 									1.10 	100.20 	5 	
* 		INDONESIA 	ACEH 	ARONGHAN, MEULABOH, SUMATRA 	4.29700 	95.94800 	110 									15.00 	5000.00 	4 	
* 		INDONESIA 	ACEH 	ARONGHAN, MEULABOH, SUMATRA 	4.30000 	95.98700 	110 									9.00 	5000.00 	4 	
* 		INDONESIA 	ACEH 	ARONGHAN, MEULABOH, SUMATRA 	4.29700 	95.94700 	110 									15.00 	5000.00 	4 	
* 		INDONESIA 	ACEH 	ARONGHAN, MEULABOH, SUMATRA 	4.30800 	95.97200 	111 										5000.00 	4 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.56194 	95.30556 	257 									8.10 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.56056 	95.30750 	257 									8.00 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.56531 	95.32958 	257 									2.00 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.56989 	95.32964 	257 									3.25 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.57569 	95.34506 	258 									3.55 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.56344 	95.31697 	257 									5.20 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.56803 	95.31681 	257 									6.00 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.56150 	95.31683 	257 									6.00 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.54686 	95.31169 	255 									4.00 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.47839 	95.24544 	250 									5.80 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.53392 	95.28136 	255 									6.10 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.58175 	95.36403 	258 									2.70 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.59972 	95.39100 	259 									3.20 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.60286 	95.39631 	259 									3.00 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.60469 	95.38775 	260 									6.10 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.59722 	95.39667 	259 									.25 		5 	
* 		INDONESIA 	ACEH 	BANDA ACEH 	5.55736 	95.28556 	257 									9.00 		5 	
* 		INDONESIA 	ACEH 	BREUH ISLAND 	5.67000 	95.12960 	274 									20.10 		5 	
* 		INDONESIA 	ACEH 	BUSUNG, SIMEULUE 	2.39300 	96.33700 	116 									1.50 	500.00 	4 	
* 		INDONESIA 	ACEH 	BUSUNG, SUMATRA 	2.38757 	96.33693 	116 									3.10 	82.00 	5 	
* 		INDONESIA 	ACEH 	BUSUNG, SUMATRA 	2.38467 	96.33572 	117 									4.10 	130.00 	5 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55600 	95.28400 	257 									12.00 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.31600 	256 									3.96 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54900 	95.31600 	255 									4.64 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54900 	95.31700 	255 									4.64 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55400 	95.31900 	256 									5.01 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55100 	95.30400 	256 									7.04 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55100 	95.30400 	256 									6.26 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55000 	95.31700 	256 									4.50 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55200 	95.31700 	256 									4.58 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.31700 	256 									4.52 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.31700 	256 									4.56 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.31700 	256 									4.67 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54700 	95.31700 	255 									4.43 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55200 	95.30300 	256 									6.11 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.30400 	256 									6.76 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55000 	95.30700 	256 									6.58 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55100 	95.30700 	256 									6.59 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54800 	95.31600 	255 									4.73 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54800 	95.31500 	255 									5.16 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54800 	95.31400 	255 									5.56 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54800 	95.31300 	255 									5.55 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54900 	95.31300 	256 									5.53 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54900 	95.31200 	256 									5.61 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.31700 	256 									4.70 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.31600 	256 									4.68 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.31600 	256 									4.79 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.31600 	256 									5.49 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54900 	95.30600 	256 									6.43 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55100 	95.30700 	256 									5.87 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55000 	95.30800 	256 									6.78 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55900 	95.28400 	257 									12.19 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54900 	95.31100 	256 									6.21 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54200 	95.28500 	256 									5.04 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54100 	95.28700 	255 									6.87 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54100 	95.28200 	255 									4.70 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54700 	95.27800 	256 									7.68 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.53600 	95.28300 	255 									7.78 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.60400 	95.34600 	261 									7.12 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.58300 	95.35000 	258 									6.58 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.31500 	256 									5.48 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.31500 	256 									5.52 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55300 	95.31500 	256 									5.35 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54900 	95.31100 	256 									5.98 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54900 	95.31100 	256 									5.96 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55000 	95.31000 	256 									6.47 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.54900 	95.31100 	256 									6.20 		4 	
* 		INDONESIA 	ACEH 	CENTER OF BANDA ACEH, SUMATRA 	5.55400 	95.29100 	257 									9.00 		4 	
* 		INDONESIA 	ACEH 	DEUDAP ISLAND 	5.60200 	95.14000 	266 									10.70 		5 	
* 		INDONESIA 	ACEH 	E OF BANDA ACEH, SUMATRA 	5.65125 	95.42310 	264 									8.00 	4000.00 	5 	
* 		INDONESIA 	ACEH 	EAST BANDA ACEH, SUMATRA 	5.64700 	95.41400 	264 									8.20 		5 	
* 		INDONESIA 	ACEH 	GANTING, SIMEULUE 	2.55000 	96.33000 	100 									3.00 	2000.00 	4 	
* 		INDONESIA 	ACEH 	GANTING, SIMEULUE 	2.54900 	96.33500 	101 									1.75 	1500.00 	4 	
* 		INDONESIA 	ACEH 	IDI, SUMATRA 	4.96653 	97.77177 	281 									2.50 	500.00 	5 	
* 		INDONESIA 	ACEH 	JANTANG, SUMATRA 	5.27621 	95.25104 	228 									19.70 	627.30 	4 	
* 		INDONESIA 	ACEH 	JANTANG, SUMATRA 	5.27572 	95.24976 	228 									18.10 	476.30 	4 	
* 		INDONESIA 	ACEH 	JANTANG, SUMATRA 	5.27622 	95.25139 	228 									19.70 	664.60 	5 	
* 		INDONESIA 	ACEH 	KARIYA BAKTI, SUMATRA 	2.63827 	95.80293 	76 									4.10 	158.90 	4 	
* 		INDONESIA 	ACEH 	KREUNG RAYA, SUMATRA 	5.58915 	95.36097 	259 									5.00 	1000.00 	4 	
* 		INDONESIA 	ACEH 	KRUENG RAYA PORT, SUMATRA 	5.59500 	95.52700 	256 									5.92 		4 	
* 		INDONESIA 	ACEH 	KRUENG RAYA PORT, SUMATRA 	5.59600 	95.52600 	256 									5.10 		4 	
* 		INDONESIA 	ACEH 	KRUENG RAYA PORT, SUMATRA 	5.58800 	95.52500 	255 									6.71 		5 	
* 		INDONESIA 	ACEH 	KUALA BUBAN BAY, MEULABOH, SUMATRA 	4.20800 	96.03900 	101 									10.00 	5000.00 	4 	
* 		INDONESIA 	ACEH 	KUALA MEURISI, SUMATRA 	4.62082 	95.63249 	147 									12.90 	1820.00 	5 	
* 		INDONESIA 	ACEH 	KUALA MEURISI, SUMATRA 	4.61370 	95.62491 	147 									13.50 	644.00 	4 	
* 		INDONESIA 	ACEH 	KUALA MEURISI, SUMATRA 	4.61644 	95.62812 	147 									17.20 	1112.30 	4 	
* 		INDONESIA 	ACEH 	KUALA MEURISI, SUMATRA 	4.61974 	95.63080 	147 									13.60 	1591.40 	4 	
* 		INDONESIA 	ACEH 	KUALA MEURISI, SUMATRA 	4.62073 	95.63235 	147 									11.30 	1799.20 	4 	
* 		INDONESIA 	ACEH 	KUALA TADU, MEULABOH, SUMATRA 	3.96600 	96.31000 	88 									15.00 	5000.00 	4 	
* 		INDONESIA 	ACEH 	LABUHAN BAKTI, SIMEULUE 	2.40400 	96.48200 	123 									2.50 	1500.00 	4 	
* 		INDONESIA 	ACEH 	LABUHAN BAKTI, SIMEULUE 	2.40200 	96.48100 	123 									2.50 	1500.00 	4 	
* 		INDONESIA 	ACEH 	LABUHAN BAKTI, SIMEULUE 	2.40200 	96.48100 	123 									2.50 	1500.00 	4 	
* 		INDONESIA 	ACEH 	LABUHAN BAKTI, SIMEULUE 	2.40700 	96.48300 	123 									4.00 	1500.00 	4 	
* 		INDONESIA 	ACEH 	LABUHAN BAKTI, SIMEULUE 	2.40800 	96.48200 	123 										1500.00 	4 	
* 		INDONESIA 	ACEH 	LABUHAN BAKTI, SIMEULUE 	2.40300 	96.48100 	123 										1500.00 	4 	
* 		INDONESIA 	ACEH 	LABUHAN, NW COAST OF SUMATRA 	5.43300 	95.23600 	245 									26.10 		5 	
* 		INDONESIA 	ACEH 	LANGI FIELD, SUMATRA 	2.82580 	95.74737 	56 									3.00 	441.40 	4 	
* 		INDONESIA 	ACEH 	LANGI FIELD, SUMATRA 	2.82765 	95.74719 	56 									7.80 	234.90 	4 	
* 		INDONESIA 	ACEH 	LANGI ISLAND, SUMATRA 	2.83004 	95.76647 	55 									7.00 	308.40 	4 	
* 		INDONESIA 	ACEH 	LANGI ISLAND, SUMATRA 	2.83054 	95.76745 	55 									13.90 	418.80 	4 	
* 		INDONESIA 	ACEH 	LANGI VILLAGE, SUMATRA 	2.82344 	95.75611 	56 									10.90 	294.20 	4 	
* 		INDONESIA 	ACEH 	LANGI VILLAGE, SUMATRA 	2.82358 	95.75631 	56 									9.90 	276.80 	4 	
* 		INDONESIA 	ACEH 	LANGI, SUMATRA 	2.82056 	95.75992 	56 									7.30 	334.70 	5 	
* 		INDONESIA 	ACEH 	LANGI, SUMATRA 	2.82175 	95.75933 	56 									8.10 	202.30 	4 	
* 		INDONESIA 	ACEH 	LANTIK, SIMEULUE 	2.43200 	96.26000 	108 									1.50 	500.00 	4 	
* 		INDONESIA 	ACEH 	LAUBANG, SIMEULUE 	2.43200 	96.26000 	108 									1.50 	500.00 	4 	
* 		INDONESIA 	ACEH 	LEPUNG, ACEH, SUMATRA 	5.39500 	95.25600 	241 									21.39 	340.00 	5 	
* 		INDONESIA 	ACEH 	LEPUNG, ACEH, SUMATRA 	5.39600 	95.26100 	241 									18.70 		5 	
* 		INDONESIA 	ACEH 	LEPUNG, ACEH, SUMATRA 	5.39500 	95.25600 	241 									17.59 	350.00 	5 	
* 		INDONESIA 	ACEH 	LEUPUNG, NW. COAST OF SUMATRA 	5.38100 	95.26000 	239 									17.80 		5 	
* 		INDONESIA 	ACEH 	LEUPUNG, NW. COAST OF SUMATRA 	5.42000 	95.24800 	243 									19.50 		5 	
* 		INDONESIA 	ACEH 	LHOK KRUET, SUMATRA 	4.90034 	95.40256 	183 									17.90 	491.60 	5 	
* 		INDONESIA 	ACEH 	LHOK KRUET, SUMATRA 	4.90010 	95.40208 	183 									17.10 	437.20 	4 	
* 		INDONESIA 	ACEH 	LHOK KRUET, SUMATRA 	4.89754 	95.40444 	183 									16.70 	275.10 	4 	
* 		INDONESIA 	ACEH 	LHOK NGA, NW. COAST OF SUMATRA 	5.44200 	95.24100 	246 									18.40 		5 	
* 		INDONESIA 	ACEH 	LHOK NGA, NW. COAST OF SUMATRA 	5.45100 	95.24300 	247 									29.70 		5 	
* 		INDONESIA 	ACEH 	LHOK NGA, NW. COAST OF SUMATRA 	5.45600 	95.24600 	247 									35.70 		5 	
* 		INDONESIA 	ACEH 	LHOK NGA, NW. COAST OF SUMATRA 	5.46100 	95.24500 	248 									28.20 		5 	
* 		INDONESIA 	ACEH 	LHOK NGA, NW. COAST OF SUMATRA 	5.44500 	95.24300 	246 									24.50 		5 	
* 		INDONESIA 	ACEH 	LHOK NGA, NW. COAST OF SUMATRA 	5.46400 	95.24700 	248 									23.10 		5 	
* 		INDONESIA 	ACEH 	LHOK NGA, NW. COAST OF SUMATRA 	5.49900 	95.22600 	253 									21.70 		5 	
* 		INDONESIA 	ACEH 	LHOKNGA, SUMATRA 	5.45777 	95.24513 	248 									31.00 	1000.00 	5 	
* 		INDONESIA 	ACEH 	LHOKSEUMAWE, SUMATRA 	5.24900 	96.91300 	245 									2.90 		5 	
* 		INDONESIA 	ACEH 	LHOKSEUMAWE, SUMATRA 	5.23500 	97.06000 	252 									1.70 		5 	
* 		INDONESIA 	ACEH 	LHOONG, NW. COAST OF SUMATRA 	5.31500 	95.24000 	233 									25.20 		5 	
* 		INDONESIA 	ACEH 	LHOONG, NW. COAST OF SUMATRA 	5.35400 	95.24300 	237 									29.60 		5 	
* 		INDONESIA 	ACEH 	LHOONG, NW. COAST OF SUMATRA 	5.28300 	95.24700 	229 									25.50 		5 	
* 		INDONESIA 	ACEH 	MEULABOH PORT, SUMATRA 	4.20900 	96.03700 	101 									15.00 		4 	
* 		INDONESIA 	ACEH 	MEULABOH PORT, SUMATRA 	4.12900 	96.12900 	95 									15.00 	5000.00 	4 	
* 		INDONESIA 	ACEH 	PANTERAJA, SUMATRA 	5.26110 	96.18528 	219 									4.70 	1000.00 	5 	
* 		INDONESIA 	ACEH 	PULAU BREUH, SUMATRA 	5.68131 	95.06303 	277 									21.10 	421.30 	4 	
* 		INDONESIA 	ACEH 	PULAU BREUH, SUMATRA 	5.68139 	95.06414 	277 									22.10 	652.30 	5 	
* 		INDONESIA 	ACEH 	PULAU BREUH, SUMATRA 	5.68139 	95.06414 	277 									22.10 	534.20 	4 	
* 		INDONESIA 	ACEH 	PULAU BREUH, SUMATRA 	5.68099 	95.06124 	277 									22.20 	222.00 	4 	
* 		INDONESIA 	ACEH 	PULAU SALAUT, SUMATRA 	2.98473 	95.39311 	63 									4.90 	161.90 	4 	
* 		INDONESIA 	ACEH 	PULAU SALAUT, SUMATRA 	2.98483 	95.39325 	63 									6.50 	124.50 	4 	
* 		INDONESIA 	ACEH 	PULUT, SUMATRA 	5.36333 	95.25212 	237 									16.50 	495.30 	5 	
* 		INDONESIA 	ACEH 	PULUT, SUMATRA 	5.36600 	95.24950 	238 									32.50 		4 	
* 		INDONESIA 	ACEH 	RHITING, ACEH, SUMATRA 	5.42900 	95.23400 	245 									48.86 	70.00 	5 	
* 		INDONESIA 	ACEH 	SABANG, SUMATRA 	5.82600 	95.34700 	285 									3.02 		4 	
* 		INDONESIA 	ACEH 	SABANG, SUMATRA 	5.88200 	95.32400 	291 									3.15 		4 	
* 		INDONESIA 	ACEH 	SABANG, SUMATRA 	5.83900 	95.29900 	287 									6.20 		5 	
* 		INDONESIA 	ACEH 	SALUR, SIMEULUE 	2.44200 	96.24300 	106 									1.50 	500.00 	4 	
* 		INDONESIA 	ACEH 	SEMEN ANDALAS CEMENT PLANT, SUMATRA 	5.45100 	95.24500 	247 									34.50 		5 	
* 		INDONESIA 	ACEH 	SENEBU VILLAGE, SIMEULUE 	2.55700 	96.30100 	98 									2.00 	1500.00 	4 	
* 		INDONESIA 	ACEH 	SENEBU VILLAGE, SIMEULUE 	2.34400 	96.46800 	128 									2.50 	1500.00 	4 	
* 		INDONESIA 	ACEH 	SENEBU VILLAGE, SIMEULUE 	2.38600 	96.48900 	125 										1500.00 	4 	
* 		INDONESIA 	ACEH 	SIGLI, ACEH, SUMATRA 	5.38400 	95.96800 	230 									4.82 		4 	
* 		INDONESIA 	ACEH 	SIGLI, ACEH, SUMATRA 	5.38900 	95.96000 	231 									4.40 		4 	
* 		INDONESIA 	ACEH 	SIGLI, ACEH, SUMATRA 	5.38500 	95.96600 	230 									4.24 		4 	
* 		INDONESIA 	ACEH 	SIGLI, ACEH, SUMATRA 	5.38800 	95.96200 	231 									3.10 		5 	
* 		INDONESIA 	ACEH 	SIGLI, ACEH, SUMATRA 	5.38800 	95.96200 	231 									3.50 		5 	
* 		INDONESIA 	ACEH 	SIGLI, ACEH, SUMATRA 	5.38800 	95.96300 	231 									4.00 		5 	
* 		INDONESIA 	ACEH 	SIGLI, ACEH, SUMATRA 	5.38700 	95.96400 	231 									4.40 		5 	
* 		INDONESIA 	ACEH 	SIMEULUE ISLAND 	2.57500 	96.26900 	94 									.30 	10.00 	4 	
* 		INDONESIA 	ACEH 	SIMEULUE ISLAND 	2.55800 	96.30800 	98 									4.00 	2000.00 	4 	
* 		INDONESIA 	ACEH 	SKONEDA, MEULABOH, SUMATRA 	4.20800 	96.04000 	101 									15.00 	5000.00 	4 	
* 		INDONESIA 	ACEH 	SKONEDA, MEULABOH, SUMATRA 	4.20900 	96.04000 	101 									15.00 		4 	
* 		INDONESIA 	ACEH 	SUAKTIMAH, MEULABOH, SUMATRA 	4.21100 	96.06500 	102 									15.00 		4 	
* 		INDONESIA 	ACEH 	TANJUN RAYA, SIMEULUE 	2.56500 	96.28800 	96 									1.90 		4 	
* 		INDONESIA 	ACEH 	ULEELHEULE, SUMATRA 	5.55580 	95.28430 	257 									9.00 	4000.00 	4 	
* 		INDONESIA 	ACEH 	WEST BANDA ACEH, SUMATRA 	5.56400 	95.23500 	259 									12.60 		5 	
* 		INDONESIA 	ACEH 	WEST BANDA ACEH, SUMATRA 	5.55800 	95.23500 	259 									20.00 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.47700 	95.24500 	250 									12.42 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.44300 	95.24200 	246 									27.86 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.45800 	95.24700 	248 									34.85 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.45200 	95.24400 	247 									18.79 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.45100 	95.24300 	247 									21.56 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.46000 	95.24600 	248 									31.91 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.40500 	95.25400 	242 									20.13 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.41400 	95.24900 	243 									17.04 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.49200 	95.23100 	252 									17.48 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.48500 	95.22800 	251 									32.72 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.48200 	95.23600 	250 									15.42 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.47700 	95.23500 	250 									18.06 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.47200 	95.24200 	249 									34.25 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.42200 	95.24400 	244 									28.61 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.42900 	95.24100 	245 									20.49 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.42000 	95.24800 	243 									21.57 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.41500 	95.25000 	243 									20.08 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.41800 	95.24800 	243 									24.86 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.46600 	95.24200 	249 									27.66 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.46000 	95.24600 	248 									21.97 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.45300 	95.24500 	247 									18.46 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.46200 	95.24300 	248 									23.83 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.49600 	95.22900 	252 									29.68 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.45600 	95.24500 	247 									25.05 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.44900 	95.24200 	247 									24.35 		4 	
