Item	Item	Country	State	Name	Latitude	Longitude	DistanceFromSource	IWDay	IWHr	IWMin	TTHr	TTMin	MWDay	MWHr	MMWMin	MaxWaterHeight	MaxInundationDistance	Type	Per	1st	Mtn	z1	z2
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.35500 	95.24200 	237 									25.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.43600 	95.23500 	246 									26.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.46300 	95.24200 	248 									26.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.50000 	95.22700 	253 									26.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47200 	95.24300 	249 									27.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47200 	95.24300 	249 									27.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.43300 	95.23100 	245 									27.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.43000 	95.23300 	245 									27.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.45000 	95.24200 	247 									27.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.46100 	95.24500 	248 									28.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49800 	95.22800 	252 									29.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.35400 	95.24300 	237 									29.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.45100 	95.24300 	247 									29.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.46000 	95.24600 	248 									29.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48500 	95.22800 	251 									30.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49600 	95.22900 	252 									30.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49900 	95.22900 	253 									34.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.45600 	95.24600 	247 									35.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.35100 	95.24600 	236 									40.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.42900 	95.23400 	245 									50.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.63100 	95.40500 	262 									2.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56200 	95.34400 	256 									2.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56200 	95.34400 	256 									3.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55800 	95.32100 	256 									3.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56700 	95.34400 	257 									3.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56700 	95.34300 	257 									3.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56600 	95.34100 	257 									3.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56200 	95.32600 	257 									4.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55700 	95.32000 	256 									4.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59000 	95.39200 	258 									4.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57100 	95.34500 	257 									4.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59000 	95.39200 	258 									4.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48600 	95.22800 	251 									17.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.38100 	95.26000 	239 									17.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.42700 	95.23500 	245 									18.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.44200 	95.24100 	246 									18.30 		5 	
